date,nino12,nino3,nino34,nino4,soi,tni,mei,oni,precipitation_mm,month,precip_anomaly
1950-01-01,-1.2,-1.34,-1.05,-0.69,0.54,0.624,,-1.53,225.6155424118042,1,-100.14435795106385
1950-02-01,-1.27,-1.6,-1.5,-1.1,1.58,0.445,,-1.34,295.464786529541,2,-72.57370637592516
1950-03-01,-0.68,-0.96,-1.07,-0.91,1.79,0.382,,-1.16,252.39159965515137,3,-147.498983502388
1950-04-01,-1.22,-0.98,-0.91,-0.76,1.67,0.311,,-1.18,307.9846000671387,4,-39.60666982751144
1950-05-01,-0.61,-1.33,-1.3,-0.79,0.55,0.124,,-1.07,144.82490253448486,5,-121.67819045091932
1950-06-01,-0.91,-1.01,-0.86,-0.62,3.06,0.213,,-0.85,159.65821266174316,6,-25.137934402415624
1950-07-01,-1.1,-1.04,-1.08,-0.98,2.14,0.293,,-0.54,166.27404689788818,7,9.57830873602316
1950-08-01,-0.15,-0.51,-0.63,-0.99,1.14,0.316,,-0.42,144.4944372177124,8,11.231090886028198
1950-09-01,-0.78,-1.11,-1.1,-0.96,0.63,0.564,,-0.39,146.1344289779663,9,-1.9256930915933026
1950-10-01,-0.88,-0.88,-0.83,-1.06,1.68,0.69,,-0.44,109.4929702281952,10,-58.39481885809646
1950-11-01,-1.64,-1.45,-1.38,-1.42,0.89,0.993,,-0.6,79.89472389221191,11,-79.95727093596207
1950-12-01,-0.93,-0.97,-1.04,-0.79,2.46,1.239,,-0.8,127.4652590751648,12,-101.58515966565986
1951-01-01,0.14,-0.72,-1.13,-1.26,1.32,1.315,,-0.82,175.96039390563965,1,-149.7995064572284
1951-02-01,-0.56,-0.43,-0.74,-0.96,,1.46,,-0.54,242.80852127075195,2,-125.22997163471422
1951-03-01,-0.22,-0.63,-0.77,-0.77,-0.71,1.59,,-0.17,219.8976469039917,3,-179.99293625354767
1951-04-01,0.3,0.0,-0.17,-0.53,-1.03,1.457,,0.18,310.7727527618408,4,-36.81851713280929
1951-05-01,0.75,-0.12,-0.1,-0.19,-1.29,1.615,,0.36,183.13754892349243,5,-83.36554406191175
1951-06-01,1.5,0.27,-0.09,-0.39,-0.52,1.627,,0.58,196.4186525344849,6,11.622505470326104
1951-07-01,2.2,1.14,0.66,-0.03,-1.33,1.521,,0.7,166.91870260238647,7,10.222964440521451
1951-08-01,1.61,1.26,0.9,0.14,-0.75,1.493,,0.89,141.04375314712524,8,7.78040681544104
1951-09-01,1.38,0.87,0.67,0.09,-1.17,1.255,,0.99,142.87919998168945,9,-5.180922087870158
1951-10-01,1.27,1.03,0.79,0.15,-1.44,0.799,,1.15,186.62484788894653,10,18.73705880265487
1951-11-01,1.28,1.03,0.78,0.26,-0.98,0.492,,1.04,103.89927864074708,11,-55.9527161874269
1951-12-01,0.49,0.81,0.71,0.34,-0.9,0.294,,0.81,177.0246353149414,12,-52.02578342588325
1952-01-01,0.2,0.43,0.39,0.24,-0.92,0.168,,0.53,269.8834381103516,1,-55.87646225251643
1952-02-01,-0.02,0.2,0.24,0.13,-0.83,-0.293,,0.37,261.8631887435913,2,-106.17530416187486
1952-03-01,0.33,0.11,0.04,-0.09,-0.02,-0.368,,0.34,315.8699426651001,3,-84.02064049243927
1952-04-01,-0.51,0.14,0.41,0.25,-0.73,-0.374,,0.29,307.6919174194336,4,-39.89935247521652
1952-05-01,-0.05,-0.52,-0.38,0.04,0.67,-0.568,,0.2,273.59979820251465,5,7.096705217110468
1952-06-01,-0.22,-0.73,-0.66,-0.29,0.78,-0.719,,0.0,159.2927312850952,6,-25.5034157790636
1952-07-01,-0.95,-0.76,-0.59,-0.42,0.51,-0.702,,-0.08,133.72108459472656,7,-22.97465356713846
1952-08-01,-0.32,-0.55,-0.42,-0.34,-0.38,-0.703,,0.0,108.95960783958436,8,-24.30373849209984
1952-09-01,-0.37,-0.62,-0.35,0.0,-0.24,-0.704,,0.15,122.09641456604004,9,-25.963707503519572
1952-10-01,-0.23,-0.27,-0.04,-0.12,0.12,-0.449,,0.1,140.61407136917114,10,-27.27371771712052
1952-11-01,-0.66,-0.55,-0.32,-0.33,-0.22,-0.566,,0.04,109.96851682662964,11,-49.88347800154435
1952-12-01,-0.36,-0.69,-0.55,-0.28,-1.4,-0.167,,0.15,112.30210280418396,12,-116.7483159366407
1953-01-01,-0.22,0.07,0.36,0.25,0.12,-0.027,,0.4,281.9977502822876,1,-43.762150080580454
1953-02-01,0.39,0.24,0.24,-0.01,-0.72,0.15,,0.6,445.6835517883301,2,77.6450588828639
1953-03-01,0.8,0.15,0.22,0.25,-0.79,0.325,,0.63,464.3695793151856,3,64.47899615764624
1953-04-01,1.13,0.79,0.77,0.39,-0.18,0.55,,0.66,465.4429435729981,4,117.85167367834799
1953-05-01,1.29,0.36,0.35,0.2,-2.72,0.428,,0.75,309.00697803497314,5,42.503885049568964
1953-06-01,0.89,0.5,0.41,0.13,-0.47,0.532,,0.77,222.13186740875244,6,37.33572034459365
1953-07-01,0.82,0.22,0.2,0.12,-0.06,0.409,,0.75,150.1603593826294,7,-6.535378779235629
1953-08-01,1.11,0.04,0.04,-0.0,-1.89,0.196,,0.73,127.89058017730711,8,-5.372766154377089
1953-09-01,0.97,0.7,0.67,0.28,-1.35,0.121,,0.78,182.9179286956787,9,34.8578066261191
1953-10-01,0.25,0.01,0.11,-0.0,-0.18,0.129,,0.84,122.52436208724976,10,-45.363426999041906
1953-11-01,0.28,0.13,0.31,0.17,-0.36,-0.425,,0.84,138.1863784790039,11,-21.66561634917008
1953-12-01,-0.12,0.08,0.15,-0.1,-0.61,-0.537,,0.81,97.36401653289796,12,-131.68640220792668
1954-01-01,-1.09,-0.15,0.39,0.18,0.57,-0.655,,0.76,235.3981347084045,1,-90.36176565446354
1954-02-01,-0.47,-0.12,0.21,0.09,-0.52,-1.249,,0.47,203.74542427062988,2,-164.2930686348363
1954-03-01,-0.27,-0.32,0.01,0.01,-0.31,-1.787,,-0.05,309.72295665740967,3,-90.1676265001297
1954-04-01,-2.17,-1.17,-0.32,0.04,0.41,-1.702,,-0.41,280.4227638244629,4,-67.16850607018722
1954-05-01,-1.92,-1.25,-0.53,-0.12,0.15,-1.839,,-0.54,181.25648641586304,5,-85.24660656954114
1954-06-01,-1.37,-1.33,-0.8,-0.47,-0.49,-1.799,,-0.5,142.60239601135254,6,-42.19375105280625
1954-07-01,-1.58,-1.35,-1.02,-0.69,0.36,-1.338,,-0.64,115.98178148269652,7,-40.713956679168504
1954-08-01,-0.98,-1.33,-1.08,-0.72,0.9,-0.981,,-0.84,98.94509410858154,8,-34.31825222310266
1954-09-01,-1.36,-1.35,-1.03,-0.81,0.17,-0.606,,-0.9,101.87830209732056,9,-46.181819972239055
1954-10-01,-1.54,-1.28,-0.91,-0.76,0.09,-0.464,,-0.77,162.27675580978394,10,-5.611033276507726
1954-11-01,-1.07,-1.38,-1.17,-0.92,0.16,-0.189,,-0.73,86.57431840896606,11,-73.27767641920792
1954-12-01,-1.43,-1.18,-0.79,-0.56,1.31,0.081,,-0.66,138.60264682769775,12,-90.4477719131269
1955-01-01,-0.29,-0.76,-0.66,-0.67,-0.68,0.316,,-0.68,201.0390248298645,1,-124.72087553300355
1955-02-01,-1.18,-0.68,-0.79,-0.89,1.3,0.489,,-0.62,257.6160697937012,2,-110.422423111765
1955-03-01,-0.6,-0.88,-0.8,-0.67,0.13,0.619,,-0.69,304.554181098938,3,-95.33640205860138
1955-04-01,-0.46,-0.99,-0.95,-0.93,-0.81,0.358,,-0.8,195.7728624343872,4,-151.8184074602629
1955-05-01,-1.2,-1.52,-1.23,-0.87,0.88,0.399,,-0.79,160.48692750930786,5,-106.01616547609632
1955-06-01,-1.03,-1.41,-1.2,-0.81,1.63,0.319,,-0.72,109.3645191192627,6,-75.43162794489609
1955-07-01,-0.67,-1.26,-1.32,-1.08,1.8,0.045,,-0.68,140.2998661994934,7,-16.395871962371615
1955-08-01,-0.82,-0.79,-0.91,-0.81,1.38,0.147,,-0.75,95.29373025894164,8,-37.96961607274257
1955-09-01,-1.01,-1.44,-1.33,-0.92,1.4,0.346,,-1.09,140.82032203674316,9,-7.239800032816447
1955-10-01,-1.73,-1.7,-1.59,-1.48,1.51,0.411,,-1.42,136.67948532104492,10,-31.20830376524674
1955-11-01,-1.57,-2.08,-1.91,-1.37,1.38,0.545,,-1.67,141.34051322937012,11,-18.51148159880387
1955-12-01,-1.31,-1.65,-1.52,-1.26,0.91,0.84,,-1.47,110.83901476860046,12,-118.21140397222419
1956-01-01,-1.04,-1.3,-1.23,-1.01,1.16,1.092,,-1.11,242.34928846359253,1,-83.41061189927552
1956-02-01,-0.69,-0.92,-0.98,-0.97,1.1,1.119,,-0.76,321.4830331802368,2,-46.555459725229355
1956-03-01,0.13,-0.67,-0.93,-0.86,0.89,0.977,,-0.63,395.8027267456055,3,-4.087856411933842
1956-04-01,-0.23,-0.75,-0.78,-0.59,1.06,0.992,,-0.54,313.8838291168213,4,-33.70744077782882
1956-05-01,-0.57,-0.67,-0.59,-0.61,1.44,0.982,,-0.52,211.3751864433289,5,-55.127906542075294
1956-06-01,-0.42,-0.62,-0.83,-0.94,1.26,0.723,,-0.51,173.48819732666016,6,-11.307949737498632
1956-07-01,0.13,-0.76,-0.94,-0.85,1.19,0.707,,-0.57,223.2907257080078,7,66.59498754614279
1956-08-01,-0.34,-0.67,-0.81,-0.75,1.05,0.766,,-0.55,149.5893177986145,8,16.325971466930298
1956-09-01,-0.53,-0.71,-0.91,-1.02,0.06,0.66,,-0.46,187.02730178833008,9,38.96717971877047
1956-10-01,-0.68,-0.6,-0.69,-0.87,1.92,0.341,,-0.42,190.1440315246582,10,22.25624243836654
1956-11-01,-0.88,-1.05,-1.01,-0.75,0.11,-0.035,,-0.43,91.82316541671752,11,-68.02882941145647
1956-12-01,-1.05,-0.8,-0.58,-0.47,0.99,-0.111,,-0.43,150.616840839386,12,-78.43357790143867
1957-01-01,-1.31,-0.87,-0.56,-0.21,0.43,0.09,,-0.25,213.70860624313357,1,-112.05129411973448
1957-02-01,0.16,-0.31,-0.24,0.02,-0.36,0.261,,0.06,434.5056457519531,2,66.46715284648695
1957-03-01,1.34,0.23,0.08,-0.03,-0.37,0.651,,0.41,455.2475776672363,3,55.35699450969696
1957-04-01,1.38,0.34,0.42,0.28,0.05,1.41,,0.72,517.7094268798828,4,170.1181569852327
1957-05-01,2.16,0.56,0.45,0.46,-1.18,1.734,,0.92,300.004976272583,5,33.50188328717883
1957-06-01,2.25,0.9,0.53,-0.05,-0.37,1.62,,1.11,261.0244846343994,6,76.22833757024063
1957-07-01,2.14,1.19,0.69,0.08,0.18,1.606,,1.25,179.69132900238037,7,22.995590840515348
1957-08-01,1.48,1.14,0.79,0.13,-1.08,1.413,,1.32,147.73876523971558,8,14.475418908031372
1957-09-01,1.78,0.68,0.53,0.27,-1.01,0.984,,1.33,125.79567432403564,9,-22.264447745523967
1957-10-01,1.43,0.83,0.74,0.41,-0.09,0.631,,1.39,237.91955137252808,10,70.03176228623641
1957-11-01,1.29,1.02,1.09,0.59,-1.23,0.137,,1.53,299.9314498901367,11,140.07945506196273
1957-12-01,1.09,1.16,1.18,0.62,-0.44,-0.27,,1.74,298.95894622802734,12,69.90852748720269
1958-01-01,0.73,1.19,1.54,1.07,-1.89,-0.639,,1.81,432.3783016204834,1,106.61840125761535
1958-02-01,0.99,0.91,1.4,1.17,-0.78,-0.523,,1.66,532.4950180053711,2,164.45652509990492
1958-03-01,0.86,0.56,0.99,0.97,-0.32,-0.565,,1.27,520.4070720672607,3,120.51648890972137
1958-04-01,1.47,0.07,0.31,0.45,0.03,-0.258,,0.93,472.494707107544,4,124.90343721289389
1958-05-01,1.07,-0.16,0.32,0.57,-1.39,-0.005,,0.74,274.39234733581543,5,7.88925435041125
1958-06-01,1.06,0.04,0.3,0.27,-0.27,-0.042,,0.64,204.0273141860962,6,19.231167121937403
1958-07-01,0.8,-0.01,0.04,0.05,0.23,-0.23,,0.57,172.80227422714233,7,16.10653606527731
1958-08-01,-0.06,0.08,0.24,0.29,0.72,-0.244,,0.43,176.95254373550415,8,43.689197403819946
1958-09-01,0.19,-0.21,-0.31,-0.2,-0.34,-0.337,,0.39,143.92687797546387,9,-4.133244094095744
1958-10-01,0.28,-0.27,-0.03,0.06,-0.56,-0.594,,0.44,247.82470083236691,10,79.93691174607525
1958-11-01,0.14,-0.14,0.05,0.15,-0.61,-0.503,,0.5,136.29183769226074,11,-23.560157135913244
1958-12-01,-0.17,-0.08,0.3,0.41,-0.84,-0.599,,0.61,290.15250968933105,12,61.1020909485064
1959-01-01,-0.12,-0.02,0.43,0.3,-0.94,-0.468,,0.61,315.5163288116455,1,-10.243571551222544
1959-02-01,0.07,-0.03,0.5,0.39,-1.5,-0.319,,0.62,390.6570053100586,2,22.618512404592423
1959-03-01,0.93,-0.03,0.26,0.21,0.77,-0.13,,0.52,546.0880527496338,3,146.19746959209442
1959-04-01,0.72,0.12,0.27,0.19,0.35,0.102,,0.33,416.4061546325684,4,68.8148847379183
1959-05-01,0.42,-0.15,-0.01,0.2,0.14,0.094,,0.2,269.3210735321045,5,2.817980546700312
1959-06-01,0.24,-0.43,-0.33,-0.3,-0.96,-0.246,,-0.07,153.15452098846436,6,-31.641626075694433
1959-07-01,-0.24,-0.38,-0.28,-0.19,-0.47,-0.387,,-0.18,210.09469985961917,7,53.398961697754146
1959-08-01,-0.46,-0.5,-0.41,-0.06,-0.68,-0.384,,-0.28,129.99510145187378,8,-3.2682448798104247
1959-09-01,0.15,-0.42,-0.53,-0.13,-0.01,-0.308,,-0.09,143.52745056152344,9,-4.532671508036174
1959-10-01,-0.06,0.11,0.11,-0.16,0.34,-0.109,,-0.03,136.30529499053955,10,-31.58249409575211
1959-11-01,0.07,-0.24,-0.17,-0.34,0.9,0.184,,0.05,164.1154718399048,11,4.263477011730828
1959-12-01,-0.23,-0.15,-0.05,-0.28,0.81,0.364,,-0.04,396.9471158981323,12,167.89669715730767
1960-01-01,-0.35,-0.07,0.02,-0.42,-0.05,0.439,,-0.1,352.86591625213623,1,27.10601588926818
1960-02-01,-0.4,-0.37,-0.24,-0.44,-0.25,0.095,,-0.1,307.13508892059326,2,-60.90340398487291
1960-03-01,-0.18,-0.15,-0.08,-0.36,,-0.05,,-0.07,331.68624687194824,3,-68.20433628559113
1960-04-01,-0.82,-0.31,0.01,-0.08,0.79,-0.262,,0.03,255.25577545166016,4,-92.33549444298995
1960-05-01,-0.32,-0.17,0.05,-0.14,0.3,-0.521,,0.02,217.24347352981567,5,-49.259619455588506
1960-06-01,-0.69,-0.33,-0.2,-0.42,-0.47,-0.602,,0.03,133.77672672271729,6,-51.0194203414415
1960-07-01,-0.58,-0.3,-0.25,-0.37,0.5,-0.409,,0.13,142.6261019706726,7,-14.069636191192416
1960-08-01,-0.26,0.03,-0.0,-0.41,0.53,-0.493,,0.24,103.2472333908081,8,-30.0161129408761
1960-09-01,-0.03,0.13,0.04,-0.33,0.65,-0.487,,0.27,153.45356941223145,9,5.393447342671834
1960-10-01,-0.74,-0.35,-0.07,-0.25,-0.2,-0.507,,0.2,157.94901418685913,10,-9.93877489943253
1960-11-01,-0.9,-0.74,-0.38,-0.33,0.6,-0.357,,0.12,133.60698223114014,11,-26.24501259703385
1960-12-01,-0.51,-0.32,0.02,0.09,0.63,-0.076,,0.05,171.61198711395264,12,-57.43843162687202
1961-01-01,0.13,-0.34,-0.15,-0.26,-0.43,0.146,,0.04,362.3134756088257,1,36.55357524595763
1961-02-01,0.64,0.1,0.04,-0.13,0.58,0.325,,0.03,426.3072204589844,2,58.268727553518204
1961-03-01,-0.04,-0.13,-0.1,-0.28,-2.47,0.468,,0.04,374.4709510803223,3,-25.419632077217045
1961-04-01,-0.3,0.3,0.13,-0.36,1.15,0.23,,0.09,401.7982578277588,4,54.20698793310868
1961-05-01,-0.26,0.06,-0.01,-0.23,0.18,-0.237,,0.23,295.10008811950684,5,28.596995134102656
1961-06-01,-0.26,0.09,0.1,-0.23,-0.53,-0.396,,0.27,135.31173706054688,6,-49.48441000361191
1961-07-01,-0.86,-0.67,-0.32,-0.39,0.18,-0.583,,0.14,103.37157917022704,7,-53.32415899163799
1961-08-01,-0.48,-0.59,-0.25,-0.39,-0.16,-0.489,,-0.13,88.18338227272034,8,-45.07996405896387
1961-09-01,-0.71,-0.93,-0.52,-0.46,0.11,-0.312,,-0.3,110.08846521377563,9,-37.971656855783976
1961-10-01,-0.45,-0.92,-0.71,-0.62,-0.73,0.058,,-0.26,169.29262495040894,10,1.404835864117274
1961-11-01,-0.35,-0.32,-0.19,-0.47,0.68,0.37,,-0.19,122.86584377288818,11,-36.9861510552858
1961-12-01,-0.39,-0.32,-0.29,-0.59,1.31,0.617,,-0.16,260.5300693511963,12,31.479650610371635
1962-01-01,-0.33,-0.17,-0.25,-0.76,1.72,0.328,,-0.24,281.3238115310669,1,-44.43608883180116
1962-02-01,-0.44,-0.13,-0.16,-0.42,-0.41,-0.103,,-0.22,277.78617095947266,2,-90.25232194599351
1962-03-01,-1.4,-0.59,-0.41,-0.48,-0.32,-0.282,,-0.2,350.1931028366089,3,-49.69748032093048
1962-04-01,-1.66,-0.77,-0.32,-0.26,0.3,-0.711,,-0.26,267.43958473205566,4,-80.15168516259445
1962-05-01,-0.54,-0.73,-0.42,-0.41,1.1,-0.999,,-0.28,219.36605834960935,5,-47.13703463579483
1962-06-01,-0.63,-0.55,-0.22,-0.23,0.37,-0.853,,-0.2,136.02072715759277,6,-48.775419906566015
1962-07-01,-0.77,-0.39,-0.3,-0.38,-0.04,-0.498,,-0.04,109.63877201080322,7,-47.0569661510618
1962-08-01,-0.31,-0.1,-0.13,-0.34,0.26,-0.61,,-0.07,133.46200132369995,8,0.1986549920157472
1962-09-01,-0.28,-0.55,-0.56,-0.52,0.53,-0.536,,-0.11,114.63200569152832,9,-33.42811637803129
1962-10-01,-0.89,-0.5,-0.33,-0.41,0.95,-0.482,,-0.22,144.15164375305176,10,-23.736145333239904
1962-11-01,-0.86,-0.68,-0.43,-0.31,0.27,-0.321,,-0.31,131.080641746521,11,-28.77135308165299
1962-12-01,-1.24,-0.79,-0.49,-0.43,-0.1,-0.306,,-0.43,137.90356397628784,12,-91.14685476453681
1963-01-01,-0.31,-0.37,-0.32,-0.45,0.8,-0.127,,-0.4,291.515908241272,1,-34.24399212159608
1963-02-01,-0.5,-0.37,-0.26,-0.25,0.26,-0.111,,-0.15,267.6902656555176,2,-100.3482272499486
1963-03-01,-0.02,-0.0,-0.06,-0.23,0.66,0.063,,0.15,452.6738624572754,3,52.78327929973602
1963-04-01,-0.54,-0.02,-0.06,-0.13,0.51,0.003,,0.27,171.7375659942627,4,-175.85370390038742
1963-05-01,0.1,0.06,-0.0,-0.14,0.14,-0.1,,0.31,165.0741810798645,5,-101.42891190553968
1963-06-01,0.04,0.39,0.12,-0.38,-1.3,-0.251,,0.52,99.86122369766235,6,-84.93492336649643
