date,nino12,nino3,nino34,nino4,soi,precipitation_mm
1982-01-01,-0.24,0.17,0.08,-0.21,1.2,309.480562210083
1982-02-01,-0.72,-0.11,-0.2,-0.11,0.3,283.7255058288574
1982-03-01,-1.38,-0.25,-0.14,-0.05,0.6,268.30818462371826
1982-04-01,-1.16,-0.05,0.02,0.1,0.1,300.0802230834961
1982-05-01,-0.62,0.49,0.49,0.4,-0.3,241.27335453033447
1982-06-01,-0.29,0.46,0.65,0.62,-1.0,146.59788608551025
1982-07-01,0.24,0.27,0.27,-0.02,-1.5,188.8674473762512
1982-08-01,0.85,0.83,0.86,0.01,-1.7,127.63814878463744
1982-09-01,1.33,1.49,1.24,0.24,-1.7,188.5063648223877
1982-10-01,1.8,1.96,1.73,0.43,-1.7,362.9843692779541
1982-11-01,2.78,2.19,1.68,0.18,-2.6,364.8971557617188
1982-12-01,2.89,2.8,2.21,0.36,-2.2,595.1349830627441
1983-01-01,2.3,2.69,2.13,0.41,-3.5,690.3561782836914
1983-02-01,1.55,2.01,1.81,0.41,-3.6,560.6436462402344
1983-03-01,1.73,1.32,1.22,0.37,-2.4,620.6853504180908
1983-04-01,2.37,1.19,0.68,-0.02,-0.9,537.2076988220215
1983-05-01,3.26,1.43,0.68,0.18,0.6,614.5591773986816
1983-06-01,4.03,1.45,0.45,-0.06,0.0,548.0181884765625
1983-07-01,3.85,0.68,-0.33,-0.32,-0.6,400.27905654907227
1983-08-01,2.88,0.55,-0.44,-0.49,0.1,217.0890316963196
1983-09-01,1.58,0.2,-0.38,-0.62,0.9,201.17164134979248
1983-10-01,1.11,-0.52,-1.02,-1.02,0.4,219.6525769233704
1983-11-01,0.38,-1.03,-1.29,-1.01,-0.1,203.36461544036865
1983-12-01,0.11,-0.88,-1.16,-0.97,0.0,278.65995597839355
1984-01-01,-0.16,-0.87,-0.96,-0.81,0.2,235.07795763015747
1984-02-01,-0.87,0.03,-0.16,-0.84,0.9,460.9694776535034
1984-03-01,-0.88,-0.28,-0.52,-0.91,-0.2,354.8653230667114
1984-04-01,-0.45,-0.29,-0.54,-0.97,0.3,336.5600395202637
1984-05-01,-1.17,-0.84,-0.69,-0.85,0.2,216.5132007598877
1984-06-01,-0.97,-1.29,-1.03,-0.81,-0.3,203.8830184936524
1984-07-01,-0.69,-0.83,-0.68,-0.45,0.2,156.48124027252197
1984-08-01,-0.57,-0.58,-0.54,-0.65,0.4,102.34350180625916
1984-09-01,-0.38,-0.29,-0.41,-0.45,0.1,145.71202754974365
1984-10-01,-0.43,-0.9,-0.75,-0.67,-0.3,199.4053974151612
1984-11-01,-0.21,-1.05,-1.3,-0.75,0.3,160.5761432647705
1984-12-01,-0.21,-1.37,-1.48,-1.0,-0.1,272.2864809036255
1985-01-01,-0.93,-1.39,-1.3,-0.83,-0.3,243.86776447296145
1985-02-01,-1.3,-1.14,-0.92,-0.57,1.2,245.8443717956543
1985-03-01,-0.95,-0.96,-0.89,-0.99,0.8,259.09335231781006
1985-04-01,-1.43,-0.94,-1.1,-1.09,1.2,234.256010055542
1985-05-01,-1.89,-1.22,-1.08,-1.08,0.4,184.07407426834104
1985-06-01,-1.35,-1.19,-1.08,-0.96,-0.4,127.85918712615968
1985-07-01,-1.37,-1.14,-0.8,-0.74,-0.1,142.17686367034912
1985-08-01,-1.26,-0.98,-0.63,-0.6,1.0,137.0857377052307
1985-09-01,-1.35,-0.97,-0.77,-0.6,0.0,164.2866325378418
1985-10-01,-1.11,-0.98,-0.74,-0.57,-0.4,100.878972530365
1985-11-01,-0.79,-0.91,-0.59,-0.37,-0.2,107.59329557418825
1985-12-01,-0.5,-0.88,-0.59,-0.34,0.2,187.95568180084229
1986-01-01,-0.02,-0.87,-0.72,-0.52,1.0,439.10988426208496
1986-02-01,-0.22,-0.58,-0.78,-0.37,-1.0,261.7446823120117
1986-03-01,-0.69,-0.42,-0.6,-0.29,0.5,277.9125804901123
1986-04-01,-0.91,-0.53,-0.52,-0.68,0.3,380.1211166381836
1986-05-01,-1.27,-0.77,-0.56,-0.44,-0.2,193.29470109939567
1986-06-01,-1.02,-0.49,-0.33,-0.24,1.0,118.26173543930054
1986-07-01,-0.61,-0.09,-0.04,-0.29,0.3,154.76750946044922
1986-08-01,-0.14,-0.1,0.19,-0.01,-0.4,150.54582834243774
1986-09-01,-0.11,0.29,0.4,0.15,-0.5,156.38517379760742
1986-10-01,0.12,0.34,0.51,0.23,0.6,197.89833307266235
1986-11-01,-0.01,0.54,0.54,0.3,-1.2,176.96152210235596
1986-12-01,0.12,0.6,0.82,0.19,-1.4,272.88899326324463
1987-01-01,0.54,0.81,0.94,0.26,-0.7,449.593599319458
1987-02-01,0.66,0.78,0.82,0.31,-1.2,605.4698791503906
1987-03-01,0.94,0.8,0.89,0.47,-1.3,498.1405448913574
1987-04-01,0.87,0.57,0.45,0.26,-1.4,409.663782119751
1987-05-01,0.84,0.62,0.32,0.06,-1.3,231.86879587173465
1987-06-01,0.66,0.51,0.72,0.34,-1.1,153.4537124633789
1987-07-01,0.7,0.99,1.04,0.29,-1.4,153.05064487457275
1987-08-01,0.72,1.06,1.2,0.35,-0.9,144.48259687423706
1987-09-01,0.71,1.37,1.32,0.33,-1.0,151.6400384902954
1987-10-01,1.29,0.88,0.97,0.63,-0.4,182.1999740600586
1987-11-01,0.93,0.73,0.85,0.63,-0.0,154.8885154724121
1987-12-01,0.44,0.91,0.77,0.51,-0.5,222.0401430130005
1988-01-01,-0.19,0.53,0.67,0.5,-0.1,363.8188695907593
1988-02-01,-0.42,-0.03,0.22,0.31,-0.4,333.4761600494385
1988-03-01,-0.85,-0.1,0.06,-0.07,0.6,220.58837795257568
1988-04-01,-1.07,-0.76,-0.55,-0.6,0.1,343.69025230407715
1988-05-01,-1.13,-1.67,-1.32,-0.72,0.9,288.40282917022705
1988-06-01,-1.59,-2.16,-1.7,-0.95,0.1,124.40390110015868
1988-07-01,-1.6,-2.08,-1.73,-1.0,1.0,120.55457091331482
1988-08-01,-1.66,-1.6,-1.43,-0.99,1.5,115.04408097267152
1988-09-01,-1.52,-0.94,-0.93,-0.77,1.8,126.3946008682251
1988-10-01,-1.53,-1.58,-2.01,-1.75,1.4,141.58149099349976
1988-11-01,-1.22,-1.82,-2.22,-1.87,1.7,181.13370895385745
1988-12-01,-1.17,-1.82,-2.01,-1.78,1.2,185.0911169052124
1989-01-01,-0.48,-1.45,-2.0,-1.86,1.5,359.32287979125977
1989-02-01,-0.23,-0.96,-1.48,-1.46,1.2,460.0360565185547
1989-03-01,0.0,-1.23,-1.44,-1.26,1.1,332.99693298339844
1989-04-01,-0.13,-1.06,-1.32,-1.1,1.6,305.08398056030273
1989-05-01,-1.25,-0.9,-0.89,-0.69,1.2,223.75790929794312
1989-06-01,-1.15,-0.39,-0.67,-1.05,0.7,175.59669971466064
1989-07-01,-0.7,-0.52,-0.57,-0.83,0.9,121.91575217247008
1989-08-01,-0.51,-0.65,-0.72,-0.91,-0.3,123.2476577758789
1989-09-01,-0.88,-0.4,-0.51,-0.54,0.5,141.9188690185547
1989-10-01,-0.68,-0.57,-0.55,-0.54,0.8,224.6448559761048
1989-11-01,-0.43,-0.7,-0.62,-0.76,-0.2,107.37733840942384
1989-12-01,-0.58,-0.5,-0.2,-0.15,-0.5,123.82942366600037
1990-01-01,-0.6,-0.4,-0.11,-0.02,-0.1,233.2671537399292
1990-02-01,-0.43,-0.11,0.01,0.18,-1.8,313.0958442687988
1990-03-01,-0.5,-0.5,-0.18,0.13,-0.4,309.6683225631714
1990-04-01,-0.7,-0.21,-0.06,0.16,0.2,314.33226585388184
1990-05-01,-0.61,0.03,0.04,-0.15,1.2,230.0670828819275
